keywords,labels,weight,distance,range,Notes?,,
buy bought buys buying sell sells selling && competitor competitors,expansion-mergers-and-acquisitions,-90,25,4,,,
buy bought buys buying sell sells selling && start && up,expansion-mergers-and-acquisitions,-100,25,4,,,
buy bought buys buying ,expansion-mergers-and-acquisitions,-50,3,1,,,
buy buys && takeover acquires acquisition,expansion-mergers-and-acquisitions,-150,25,4,,,
claim && market markets,expansion-mergers-and-acquisitions,-30,20,4,,,
claim && market markets,expansion-mergers-and-acquisitions,-100,25,4,,,
snap snaps snapping snapped && up && competitor competitors,expansion-mergers-and-acquisitions,-180,25,4,,,
snap snaps snapping snapped && up && icon retailer retailers maker makers manufacturer manufacturers rival name staple outfitter business businesses online marketeer behemoth notorious famed famous chain processor brand brands,expansion-mergers-and-acquisitions,-180,25,4,,,
snap snaps snapping snapped && up && icon retailer retailers maker makers manufacturer manufacturers rival rivals competitor competitors name staple outfitter business businesses online marketeer behemoth notorious famed famous chain processor brand brands chain flagship flagships,expansion-mergers-and-acquisitions,-250,25,6,,,
swoops && on && competitor competitors,expansion-mergers-and-acquisitions,-180,25,4,,,
swoops && on && icon retailer maker manufacturer name staple outfitter chain giant reisreus,expansion-mergers-and-acquisitions,-180,25,4,,,
take && over && market,expansion-mergers-and-acquisitions,-160,25,3,,,
takes && over && the && business,expansion-mergers-and-acquisitions,-80,3,3,,,
vertical && mna,expansion-mergers-and-acquisitions,-100,25,4,,,
aggressively && expanding,expansion-strategic,-30,25,3,,,
business && investment && trigger triggers triggered,expansion-strategic,-60,25,5,,,
company && growth && plan,expansion-strategic,-40,25,5,,,
enter enters entered entering && agreement,expansion-strategic,-100,25,4,,,
expansion expanding && into to && new other && markets,expansion-strategic,-30,25,4,,,
focus && on && growing strategy,expansion-strategic,-30,25,3,,,
gained && addition additions && to && partner partners,expansion-strategic,-110,15,15,,,
important && to && development growth investment investing,expansion-strategic,-40,25,3,,,
long && term && investment,expansion-strategic,-20,25,3,,,
opportunities opportunity && in && other && markets market,expansion-strategic,-30,30,5,,,
partner partners partnering partnered && with,expansion-strategic,-100,25,2,,,
partners partnership partnerships && for && deployment && market,expansion-strategic,-170,25,15,,,
partnership,expansion-strategic,-100,15,4,,,
proposed && sale,expansion-strategic,-100,25,4,,,
sale sales && agreement,expansion-strategic,-100,25,4,,,
significant && capital && investment investments,expansion-strategic,-50,25,3,,,
strategic strategically need needs needing dire && partner partners partnering partnered partnership partnerships cooperation,expansion-strategic,-100,25,4,,,
value && added && investing investment investments,expansion-strategic,-30,25,5,,,
bankrupt bankrupts bankrupted bankrupted failliet failliete faillit faillissementsbescherming,filing-bankruptcy,-200,25,6,,,
bankrupts bankrupting bankruptcy bankruptcies bankrupt,filing-bankruptcy,-50,5,2,,,
close closing closed && bankrupt bankruptcy bankruptcies,filing-bankruptcy,-300,35,10,,,
fail fails failed failing cant can't && avert avoid && collapse implosion disintegration,filing-bankruptcy,-180,25,8,,,
file files filed filing today immediate announced announces announcing issues issuing && bankruptcy bankrupt bankruptcies insolvency faillissementsbescherming,filing-bankruptcy,-400,25,6,,,
go going goes today immediately declare declaring declared declares is && bankrupt bankruptcy bankruptcies failliet faillit failliete faillissementsbescherming,filing-bankruptcy,-400,25,6,,,
heading headed heads head court judge ruling rule ruling ruled going heading risk && for && bankruptcy faillissement insolvency,filing-bankruptcy,-400,25,6,,,
insolvencies insolvency insolvent,filing-bankruptcy,-50,5,2,,,
is && about to && topple,filing-bankruptcy,-200,4,6,,,
lift && of && stay,filing-bankruptcy,-200,25,4,,,
trigger triggers triggering immediate immediate initiate prompt prompts prompting imminent file files filing && bankruptcy,filing-bankruptcy,-300,25,20,,,
about && to && collapse implode crumble,financial-issues-general,-180,25,3,,,
asset && quality && worse worsened worsens worsening decline declines declined declining down lower lowering sour souring sours degrade degrades degrading degraded deterioration deteriorates deteriorate deteriorated fall falls falling fell deteriorating diminishing diminishes diminished decreases decreasing decreased exacerbated severely adversely detrimental weaken weaker weakens weakening weakened erode erodes eroding eroded undermine undermines undermining undermined,financial-issues-general,-190,25,3,,,
assets && fall falls fell tumble tumbles tumbled dive dives dove warn warns warning sink sinks sank drop drops dropped dropping crushed crushing crush crushes plunge plunged plunges plunging plunge deteriorating deteriorates deteriorated questionable declines declining declined miss misses missing weak weaker weakest weakening dip dips dipping down depreciation impairment,financial-issues-general,-170,25,4,,,
at && new && low,financial-issues-general,-150,20,5,,,
bad rotten troublesome worst problematic horrible horrific unsustainable messy disappointing disappoint disappoints disappointed rough questionable unmanageable challenging difficult && results quarter q1 q2 q3 q4,financial-issues-general,-190,25,6,,,
bank && prohibits prohibiting prohibited,financial-issues-general,-130,25,6,,,
bank holding holdings && falls fell tumble tumbles tumbled dive dives dove warn warns warning sink sinks sank crushed crushing crush crushes plunge plunged plunges plunging plunge deteriorating deteriorates deteriorated questionable declines declining declined miss misses missing weak weaker weakest weakening dip dips dipping,financial-issues-general,-100,25,4,,,
breach breaches breached breaching && capital liquidity solvability && requirement requirements ratio ratios,financial-issues-general,-190,25,4,,,
capital && gap,financial-issues-general,-190,25,6,,,
capital && runs running && away for from towards,financial-issues-general,-190,25,6,,,
capital && shortfall shortfall,financial-issues-general,-190,25,4,,,
capital && shortfall,financial-issues-general,-190,25,4,,,
core unit units && disappoint disappoints letdown letdowns,financial-issues-general,-190,25,8,,,
credit && card && charged,financial-issues-general,-130,25,6,,,
real && estate && debt,financial-issues-general,-40,25,4,,,
credit && default defaults && swap swaps,credit-default-swaps,-200,25,6,,,
crisis recession debt && deepen deepens deepening worsen worsens worsening blackens blackening,financial-issues-general,-190,25,6,,,
defaults defaulting default && risk risks risking,credit-default-swaps,-200,25,6,,,
delay delays delaying delayed postpone postpones postponing postponed defer deferred deferring cancel cancels canceling canceling canceled canceled reschedule reschedules rescheduling rescheduled rescind rescinds rescinding hide hides hiding hid withdraw withdraws withdrawing withhold withholds withholding withheld && quarter quarterly year yearly q1 q2 q3 q4 && report,financial-issues-general,-220,15,5,,,
delayed && payment,financial-issues-general,-190,25,5,,,
extension && payment,financial-issues-general,-190,25,3,,,
fail fails failed && pay,financial-issues-general,-190,25,6,,,
fail fails failed failure failing unable inability impossible impossibility unlikely unsuccessful unsuccessfully miserable miserably refuse refuses refusing block blocks blocking blocked blockade hurdle hurdles unwilling force forces forcing forced && refinance refi,financial-issues-general,-220,15,5,,,
feel feels feeling && heat,financial-issues-general,-130,25,3,,,
financial finances && ruin ruins ruined blow,financial-issues-general,-190,25,12,,,
firm company operator manufacturer distributor venture contractor retailer promoter business bank insurer corporation vendor outfitter && collapse collapses collapsing bust busted abyss implosion implodes imploding ondergang demise demises downfall collapse meltdown,financial-issues-general,-300,25,12,,,
freefall,financial-issues-general,-50,10,4,,,
fresh infusion new && liquidity financing finances financial payment funding money credit capital cash cashflow payment payments && key paramount utmost crucial imperative vital vitally essential ensure ensuring assure assuring critical pivotal indispensible indispensable necessary necessity fundamental foremost safeguard,financial-issues-general,-190,25,8,,,
funds && disappear,financial-issues-general,-100,25,4,,,
gains && wont won't won && last,financial-issues-general,-50,30,5,,,
hang hangs hanging && thread,financial-issues-general,-200,10,4,,,
hedge fund investor investors trader traders market && dump dumps dumping dumped ditches ditching ditched,financial-issues-general,-190,25,8,,,
high higher highest increase increasing increased && provisions,financial-issues-general,-190,20,4,,,
higher && allowance && impairment,financial-issues-general,-130,18,8,,,
hole && balance,financial-issues-general,-190,25,6,,,
how && to && turn && around,financial-issues-general,-150,25,6,,,
in && payment && default,financial-issues-general,-250,25,6,,,
in && to && rescue,financial-issues-general,-190,12,4,,,
in to && ruins ruin,financial-issues-general,-200,25,6,,,
investors investor investment management managers trader traders capital money liquidity partners partner workforce employees employee bondholder bondholders holder holders landlord && flee fleeing exodus,financial-issues-general,-190,25,6,,,
investors investor investment management managers trader traders capital money liquidity partners partner workforce employees employee bondholder bondholders holder holders landlord && still && waiting,financial-issues-general,-190,25,6,,,
investors investor investment management managers trader traders capital money liquidity partners partner workforce staff staffers employees employee bondholder bondholders holder holders landlord && short && change changes changing changed,financial-issues-general,-190,25,5,,,
investors investor investment management managers trader traders money liquidity partners partner workforce employees employee bondholder bondholders holder holders landlord && run runs running && away for towards,financial-issues-general,-190,25,6,,,
liquidity financing finances financial payment funding money credit capital debit debt debts cash cashflow payment payments && revoke revokes revoking revoked rescind rescinds rescinding rescinded cancel cancels canceling cancellation canceled terminate terminates terminating suspend suspends suspending suspended dwindles dwindling dwindled wane wanes waning waned ebb ebbs ebbing ebbed decimate decimates decimating decimated deplete depletes depleting depleted erode erodes eroding eroded diminish diminishes diminishing diminished,financial-issues-general,-190,25,4,,,
lose loses losing lost loss damage damages && million millions mn bln billion billions euros,financial-issues-general,-190,25,3,,,
low lower compromised question questions questioning uncertain concerns concerned worry worries worried doubt doubts doubting unsure wary fear fears fearing afraid wonder wondering && capacity capability capable able ability whether confidence plan plans && absorb curb,financial-issues-general,-190,25,8,,,
lowered lowers lowering lower && to && sell hold neutral,financial-issues-general,-150,25,5,,,
may likely will about to && default delinquency nonpayment,financial-issues-general,-200,25,3,,,
misses missing missed && target,financial-issues-general,-130,25,6,,,
money capital financing && to && heal save rescue && giant reisreus icon retailer maker manufacturer competitor name staple outfitter chain,financial-issues-general,-190,25,10,,,
near nears nearing imminent && collapse implosion disintegration,financial-issues-general,-180,25,12,,,
need needs needing necessary && liquidity financing finances financial payment funding money credit capital debit debt debts cash cashflow payment payments,financial-issues-general,-100,10,4,,,
no failing fails withholds withholding withheld axing && dividend dividends,financial-issues-general,-70,25,6,,,
nonpayments nonpayment,financial-issues-general,-50,5,2,,,
nonperforming impaired bad distress distressed problem problematic sour soured souring non bad stressed bad suspect troublesome dangerous && asset assets loans loan && increase increases increasing increased increasingly high higher highest untenable worrying swamp swamps swamped swamping affect affected affects affecting more rise rises rising rose more bigger biggest larger worse worsen worsening worsened battle battles battling suffer suffers suffering,financial-issues-general,-170,25,4,,,
not && pay paying && dividend dividends coupon bond bonds,financial-issues-general,-130,25,6,,,
only barely not cant hardly && enough && liquidity financing finances financial payment funding money credit capital cash cashflow payment payments,financial-issues-general,-190,25,8,,,
out && of && money,financial-issues-general,-200,25,2,,,
overpaid overpayment overpayments,financial-issues-general,-90,15,2,,,
should && no && longer && be && relied && upon,financial-issues-general,-190,25,5,,,
pay pays paying payed paid && sec commission finra doj cnmv justica bafin ftc fcc irs cra dept antitrust,financial-issues-general,-190,25,3,,,
profit profits returns earnings capitalisation capital cash cashflow revenue revenues sales dividend dividends income results figures numbers net business rating moody fitch bradstreet demand sales && drop drops dropped dropping lower lost decreased reduced less lag lags lagging lagged,financial-issues-general,-190,28,3,,,
provisions loss losses challenges challenging npa risk risks expenses overhead && escalate escalates escalating escalated surging surge surges soar soars soaring spike spikes spiking spiked upsurge upsurges billow billows billowing heave heaves heaving spiraling spiral spirals spiraled spiraling double doubling treble trebling triple tripling quadruple quadrupling massive massively huge mount mounting,financial-issues-general,-190,25,4,,,
queer && street,financial-issues-general,-200,25,6,,,
race && against && the && clock,financial-issues-general,-200,18,8,,,
restrict restricts restricting restricted && amounts withdrawal withdrawals,financial-issues-general,-130,25,6,,,
rethink rethinks rethinking reeavaluate reevaluates reevaluating reconsider reconsiders reconsidering revamp revamps revamping reassess reassesses reassessing overhaul overhauling overhauls && financial && options,financial-issues-general,-190,25,4,,,
rise climb && impairment impairment && charges,financial-issues-general,-130,25,8,,,
rise rises rising higher high highest && loss losses risk risks overhead expenses,financial-issues-general,-190,25,4,,,
risk risks restrictions challenging && escalate escalates escalating escalated surging surge surges soar soars soaring spike spikes spiking spiked upsurge upsurges billow billows billowing heave heaves heaving spiralling spiral spirals spiraled spiraling double doubling treble trebling triple tripling quadruple quadrupling massive massively huge mount mounting high higher increase increases increasing hike hikes hiking more add adding adds added additional,financial-issues-general,-130,25,6,,,
ruination ruined,financial-issues-general,-200,25,6,,,
rumor rumour rumors rumours rumored rumoured talk said near nigh word gossip indications might could possible possibly possibility indications indication likely probably probability speculate speculation speculations speculating supposedly risk risks risking despite prepare prepares preparing reportedly considering expect expects expecting expected expectation expectations threat threats threatening threatened consider considers considering weigh weighs weighing table tap taps tapping tapped seek seeks seeking examine examines examining examined look looks looking looked && chapter ch && eleven 7 11 13,financial-issues-general,-190,25,6,,,
score scores && decline declines declined declining,financial-issues-general,-100,18,4,,,
set sets && aside && additional,financial-issues-general,-150,25,6,,,
shareholder && notice alert,financial-issues-general,-190,25,6,,,
shares profit profits returns earnings capitalisation capital revenue revenues sales dividend dividends stock stocks income results figures numbers net business demand sales && continues continue continuing continued && to && fall decline down,financial-issues-general,-190,28,8,,,
shares profit profits returns earnings capitalisation capital revenue revenues sales dividend dividends stock stocks income results figures numbers net business demand sales && plunge plunged plunges plunging plunge nosedive nosediving nosedives miss disappoint disappoints disappointing tank tanks tanking tanked,financial-issues-general,-190,28,8,,,
shares profit profits returns earnings capitalisation capital revenue revenues sales dividend dividends stock stocks income results figures numbers net business demand sales && reports reporting reported announce announces announcing announced && decline,financial-issues-general,-190,28,8,,,
shares profit profits returns earnings capitalisation capital revenue revenues sales dividend dividends stock stocks income results figures numbers net business rating moody fitch bradstreet demand sales && free freely down to && fall falls falling fell,financial-issues-general,-190,28,5,,,
shares profit profits returns earnings capitalisation capital revenue revenues sales dividend dividends stock stocks income results figures numbers net business rating moody fitch bradstreet demand sales && warn warns warning warnings sink sinks sank slip slips slipping sliding slid falters faltering falter fail fails failing failed disappoint disapoints disappointing disappointed distress,financial-issues-general,-120,28,8,,,
short && interest && increase increases increasing up upwards high higher highest billow billowing explode exploding explosion,financial-issues-general,-100,20,7,,,
outraged && stakeholder stakeholders shareholder shareholders institutional hedge funder funders partner partners market markets investor investors trader traders trading trade trades broker brokers brokerage analyst analysts backer backers advisor advisors advisers,financial-issues-general,-190,25,6,,,
spook spooks spooked irks irking irked suspicious puzzled puzzles puzzling worried worries unnerve unnerves unnerving unnerved perplexes perplexing perplexed frighten frightens frightening frightened leery peeved baffle baffles baffling baffled terrify terrifies terrifying terrified worry worries worrying infuriate infuriates infuriating infuriated skittish disconcerts disconcerting disconcerted bewildered scare scares scaring scared unsettle unsettles unsettling unsettled uneasy annoy annoyed flummoxed horrified fearful apprehensive rile riles riling riled dismay dismays dismaying dismayed angers angering angered alarmed upset enraged disgusted appalled startled bemused incredulous panicky distraught disheartened dumbfounded flabbergasted aghast miffed panicked mortified flustered displeased resent resenting resents resentful mystified befuddled shocked chagrined unimpressed embarrassed embarrassed embarrassing pained agitated frustrated frustration frustrations frustrating irate irates irating irated unhappy vexes vexing vexed angry disheartened disheartening disheartens dishearten freaked exasperate exasperates exasperating exasperated distrustful freaked incenses incensing incensed indignant disillusioned sadden saddens saddening saddened confound confounds confounding confounded offended offend offends offending offended insult insults insulting insulted && stakeholder stakeholders shareholder shareholders institutional hedge funder funders partner partners market markets investor investors trader traders trading trade trades broker brokers brokerage analyst analysts backer backers advisor advisors advisers,financial-issues-general,-190,25,1,,,
state && support rescue aid,financial-issues-general,-190,8,2,,,
still continues again repeatedly constantly continually && not waiting && receive received && payment payments,financial-issues-general,-190,30,12,,,
struggles struggle struggling trying tries desperate desperately attempting thread hope hopes hoping pray prays praying hail fail fails failing unable doubt doubts doubting doubtful worry worries worrying worried skeptical skeptic skeptical afraid && survive survival survived,financial-issues-general,-300,8,6,,,
suspension postponement suspend suspends && payment payments,financial-issues-general,-350,25,6,,,
trading && day && drops drop dropped dropping,financial-issues-general,-100,12,8,,,
underweight && rating ratings target targets,financial-issues-general,-100,20,4,,,
money && took taken && over,financial-issues-general,-100,20,4,,,
undisclosed && payments,financial-issues-general,-190,25,5,,,
urge urging urges urged ask asks asking trying tries seek seeks seeking search searches looking race races racing frantic frantically sprint sprints sprinting furious furiously panic desperate desperately urgent urgently beg begs begging scramble scrambles scrambling scrambled rush rushes rushing dash && liquidity financing finances financial payment funding money credit capital debit debt debts cash cashflow payment payments,financial-issues-general,-190,25,4,,,
writeoffs writeoff writedowns writedown,financial-issues-general,-60,10,1,,,
scandal scandals scandalous && financial finance financed,financial-issues-general,-110,25,6,,,
fraudulent fraudulence fraudster fraudsters fraud fraudulently frauds fraud defraud defrauding defrauds defrauded,financial-issues-general,-130,15,2,,,
government && support,financial-issues-general,-70,25,1,,,
downturn take takes took && dive,financial-issues-general,-70,25,1,,,
financial && conduct conducting,financial-issues-general,-70,25,2,,,
nonpayments nonpayment,financial-issues-general,-100,20,2,,,
underperforming underperform underperformed underperforms && market,financial-issues-general,-70,25,4,,,
new face faces increasing increases looming horizon expected && crisis crises bubble bubbles,financial-issues-general,-70,25,6,,,
credit && risk crunch,financial-issues-general,-70,25,1,,,
scandal scandals scandalous && financial finance financed,financial-issues-general,-110,25,6,,,
fraudulent fraudulence fraudster fraudsters fraud fraudulently frauds fraude defraud defrauding defrauds defrauded,financial-issues-general,-130,15,2,,,
government && support,financial-issues-general,-70,25,1,,,
downturn take takes took && dive,financial-issues-general,-70,25,1,,,
financial && conduct conducting,financial-issues-general,-70,25,2,,,
nonpayments nonpayment,financial-issues-general,-100,20,2,,,
underperforming underperform underperformed underperforms && market,financial-issues-general,-70,25,4,,,
new face faces increasing increases looming horizon expected && crisis crises bubble bubbles,financial-issues-general,-70,25,6,,,
earnings && call,financial-issues-general,-70,25,6,,,
stock stocks && issuance,financial-issues-general,-70,25,3,,,
divestments divestment divestitures divestiture,financial-issues-general,-70,15,3,,,
acquiring && debt loan,financial-issues-general,-70,15,3,,,
underperform underperforming underperformed underperforms,financial-issues-general,-90,15,2,,,
solvency && capital && requirement,financial-issues-general,-40,15,2,,,
insurance && solvency,financial-issues-general,-40,15,2,,,
another again && big huge mega ernomous large massive enormous gigantic giant humongous humongous monstrous immense colossal colossal gargantuan mammoth ginormous staggering behemoth && bill reckoning,financial-losses,-190,25,6,,,
big huge mounting large considerable marked mega absurd hefty significant massive enormous substantial immense sizable gigantic tremendous vast gargantuan humongous major continue continues continuing continued present presents presenting announce announces announced show shows showing showed widens && loss losses kursverluste,financial-losses,-190,25,2,,,
continue continues continuing continued present presents presenting announce announces announcing announced show shows showing showed ongoing further deepen deepens deepening deepened extends extend extending extended widen widens widening widened wider renewed && loss losses,financial-losses,-190,25,4,,,
drowning drowned drowns && in && red,financial-losses,-200,25,6,,,
exposure exposes expose && losses loss,financial-losses,-190,20,5,,,
in && the && gutter,financial-losses,-200,25,2,,,
into && red,financial-losses,-200,25,2,,,
investors investor investment management managers trader traders capital money liquidity partners partner workforce employees employee bondholder bondholders holder holders landlord && jump jumping jumped jumps && off from ship,financial-losses,-190,25,6,,,
investors investor investment management managers trader traders capital money liquidity partners partner workforce employees employee bondholder bondholders holder holders landlord && launch launching launches commence commencing seek seeking seeks && legal damages over,financial-losses,-190,25,6,,,
investors investor investment management managers trader traders capital money liquidity partners partner workforce staff staffers employees employee bondholder bondholders holder holders landlord && bailing fret fretting frets shortchange shortchanges shortchanging shortchanged changed,financial-losses,-190,25,6,,,
log logs logging logged record records recording recorded post posts posting posted net && loss,financial-losses,-90,18,4,,,
loses lose losing && milliardendepot,financial-losses,-190,25,3,,,
loss && from on && sale provisions provisioning,financial-losses,-130,30,10,,,
losses && on,financial-losses,-100,25,2,,,
masked masking masks mask && losses loss,financial-losses,-190,20,5,,,
miljardenverlies miljoenenverlies megaverlies probleembank,financial-losses,-190,25,6,,,
more further && big huge mega ernomous large massive enormous gigantic giant humongous humongous monstrous immense colossal colossal gargantuan mammoth ginormous staggering behemoth && bills reckonings debts repayments expenditures,financial-losses,-190,25,6,,,
provisions loss losses challenges npa npas && escalate escalates escalating escalated surging surge surges soar soars soaring spike spikes spiking spiked upsurge upsurges billow billows billowing heave heaves heaving spiraling spiral spirals spiraled spiraling double doubling treble trebling triple tripling quadruple quadrupling massive massively huge mount mounting high higher increase increases increasing hike hikes hiking more add adding adds added additional,financial-losses,-130,25,6,,,
spilling leaking bleeding && red && ink,financial-losses,-200,25,3,,,
straight && losses loss,financial-losses,-150,25,6,,,
tiefrot tiefrote tiefroten dieprood dieprode,financial-losses,-250,25,6,,,
verlieslatend,financial-losses,-150,20,6,,,
lose loses losing lost && market,financial-losses,-70,18,4,,,
following after && losses losing,financial-losses,-70,25,6,,,
affects affecting affected affect distress distressing angry angered frenzied furious infuriate infuriates infuriating infuriated pissed horrified disgruntle disgruntles disgruntled raging enrage enrages enraged enraging upset upsets upsetting battle battling warning warns warned frustrates frustrating frustrated frustration damage damages damaging damaged mislead misleads misleading misled misery deceive deceives deceiving deceived hurt hurts hurting unable mischarge mischarges mischarging mischarged disapprove disapproves disapproving disapproved disagree disagrees disagreeing disagreed block blocking blocked compensation && drivers families investors investor shareholder shareholders holidaymakers,financial-losses,-130,8,6,,,
announces announce announcing announced confirms confirm confirmed secure secures securing secured gets getting unveil unveils unveiling unveiled reveal reveals revealing launch launches launching plan plans planning planned begins beginning begun && investment invested investments,financial-mergers-and-acquisitions,-100,25,4,,,
new && investment invested investments,financial-mergers-and-acquisitions,-100,25,2,,,
buy && out,financial-mergers-and-acquisitions,-150,25,4,,,
buy buys buying bought && out,financial-mergers-and-acquisitions,-150,25,4,,,
buy buys buying bought && out && administration administrator administrators,financial-mergers-and-acquisitions,-100,25,4,,,
buyout,financial-mergers-and-acquisitions,-150,25,4,,,
cash && offer,financial-mergers-and-acquisitions,-100,25,4,,,
enters enter entering entered && financing,financial-mergers-and-acquisitions,-100,25,4,,,
far && away && buy && out,financial-mergers-and-acquisitions,-180,25,4,,,
leveraged && buyout,financial-mergers-and-acquisitions,-100,25,4,,,
far && away && deal merger contract acquisition takeover buyout,financial-mergers-and-acquisitions,-180,25,4,,,
leveraged && capitalization recapitalization capitalisation recapitalisation,financial-mergers-and-acquisitions,-170,25,6,,,
recapitalization recapitalizes recapitalizing recapitalisation recapitalises recapitalising,financial-mergers-and-acquisitions,-100,25,4,,,
seek seeks seeking look looks looking need && for new && investor investors buyer buyers knight angel savior savior messiahs messiah messiah owner owners,financial-mergers-and-acquisitions,-180,25,4,,,
seek seeks seeking look looks looking need needs needing && sell && majority company business,financial-mergers-and-acquisitions,-180,25,4,,,
takeover && offer,financial-mergers-and-acquisitions,-150,25,2,,,
will && investment invested investments,financial-mergers-and-acquisitions,-100,15,5,,,
bestechungsskandal,financial-offenses-bribery,-190,25,6,,,
black && mail mails mailed mailing,financial-offenses-bribery,-190,25,6,,,
blackmail blackmailed blackmails blackmailing,financial-offenses-bribery,-190,25,6,,,
bribe bribed briberies bribery bribing bribes,financial-offenses-bribery,-50,5,2,,,
bribery bribes bribed bribing stealing stolen,financial-offenses-bribery,-190,25,6,,,
brought bring brings bringing && justice,financial-offenses-bribery,-100,25,6,,,
deal deals dealing paying pays payed lure lures lured luring enticing entices enticed && police,financial-offenses-bribery,-150,25,8,,,
pay pays paying && for && intentionally,financial-offenses-bribery,-150,25,8,,,
charge charges charging charged && insurance insurances product products loans && not don't dont && need,financial-offenses-fraud,-130,25,20,,,
concealing conceal conceals concealed obscured obscuring obfuscating obfuscated criminal criminally penale && fund funds money transactions transaction,financial-offenses-fraud,-190,25,6,,,
double triple quadruple doubly triply tripled wrongly falsely surreptitious surreptitiously secretly covertly blatantly && charge charges charging charged && customers consumers users clients holders holidaymakers,financial-offenses-fraud,-190,25,8,,,
embezzle embezzles embezzling embezzlement embezzled,financial-offenses-fraud,-190,30,6,,,
false && accounting advertising,financial-offenses-fraud,-190,25,6,,,
false falsify falsified falsifying falsely fraudulent fraudulently misrepresented misrepresenting misrepresentation knowingly doctoring doctors doctored wrongly hid hiding withholds withholding withheld faking faked mislead misled misleading willfully blatantly intentionally deliberately && information data records documents documentation database databases report reports statistics relevant,financial-offenses-fraud,-190,25,6,,,
fraudulent fraudulence fraudster fraudsters fraud fraudulently frauds fraude defraud defrauding defrauds defrauded,financial-offenses-fraud,-130,35,2,,,
mis && selling,financial-offenses-fraud,-170,25,4,,,
misselling,financial-offenses-fraud,-170,25,4,,,
money deposits deposit accounts && disappear disappears disappearing disappeared vanish vanishes vanishing vanished,financial-offenses-fraud,-130,25,12,,,
ponzi,financial-offenses-fraud,-50,5,2,,,
ponzi racketeering,financial-offenses-fraud,-190,30,6,,,
pyramid && scheme,financial-offenses-fraud,-130,25,8,,,
pyramid && scheme scheming schemed,financial-offenses-fraud,-190,25,6,,,
rigging funneling,financial-offenses-fraud,-190,25,6,,,
rip rips ripping ripped && off,financial-offenses-fraud,-190,25,6,,,
underreports underreported underreporting misreports misreported misreporting,financial-offenses-fraud,-130,25,8,,,
unduly unreasonably unjustifiably excessively inordinately unfairly unjustly unconscionably unconscionably inappropriately disproportionately wrongfully egregiously inappropriately wrongly abusively unconstitutionally unlawfully perversely absurdly irresponsibly criminally outrageously unacceptably shamefully appallingly recklessly gratuitously maliciously purposefully wilfully willfully disgracefully && benefits benefitting benefitted,financial-offenses-fraud,-190,25,6,,,
racketeering racketeer,financial-offenses-fraud,-50,5,2,,,
allege alleged alleges && fraud,financial-offenses-fraud,-150,15,5,,,
scam scams embezzlement kickback kickbacks,financial-offenses-fraud,-90,10,1,,,
cook cooked cooking && book books,financial-offenses-fraud financial-offenses-general internal-wrongdoing,-190,25,6,,,
cover && up,financial-offenses-general,-130,25,2,,,
double triple quadruple doubly triply tripled wrongly falsely surreptitious surreptitiously secretly covertly blatantly && charge charges charging charged,financial-offenses-general,-190,25,4,,,
financial && crime crimes,financial-offenses-general,-150,25,4,,,
financial && offense offenses offenses indictable punishable felony felonies felonious misdemeanor unlawful violation violations infraction infractions misconduct perjury larceny,financial-offenses-general,-190,25,6,,,
improper && dealing dealings,financial-offenses-general,-130,25,8,,,
intentionally && wrecked cheating,financial-offenses-general,-150,25,8,,,
lava vaza && jato,financial-offenses-general,-130,20,2,,,
lavajato,financial-offenses-general,-130,20,8,,,
lose && all && money,financial-offenses-general,-120,25,10,,,
may && need && more && capital,financial-offenses-general,-190,25,7,,,
miss misses missing missed && output financial && target targets,financial-offenses-general,-150,25,8,,,
must has have && to && settle pay,financial-offenses-general,-130,25,4,,,
overbill overbills overbilling overbilled overcharges overcharging overcharged overpriced overpricing shortchanging misappropriating fleecing,financial-offenses-general,-130,25,8,,,
sale && irregularity irregularities,financial-offenses-general,-150,25,3,,,
theft thieving thievery,financial-offenses-general,-100,30,2,,,
to && miss && target targets goal goals,financial-offenses-general,-150,25,6,,,
under && report reports reported reporting,financial-offenses-general,-130,25,2,,,
unpaid && fees,financial-offenses-general,-190,25,6,,,
financial && violated violating violation violates violations misconduct misconducts misconducted,financial-offenses-general,-130,25,8,,,
financial && offense,financial-offenses-general,-70,25,6,,,
counterfeited counterfeit counterfeiter counterfeiters counterfeiting counterfeits && currency currencies,financial-offenses-general,-70,25,6,,,
bear && raid,financial-offenses-market-manipulation,-170,25,6,,,
churning,financial-offenses-market-manipulation,-150,25,4,,,
false && advertising,financial-offenses-market-manipulation,-70,25,6,,,
fixing fix && spot price fx forex currency,financial-offenses-market-manipulation,-170,25,4,,,
front && running,financial-offenses-market-manipulation,-190,30,2,,,
frontrunning,financial-offenses-market-manipulation,-190,30,2,,,
insider && dealing,financial-offenses-market-manipulation,-170,25,8,,,
insider && dealing dealings trading tradings,financial-offenses-market-manipulation,-170,25,4,,,
insider && trading,financial-offenses-market-manipulation,-170,25,8,,,
investor investors bondholder bondholders supplier suppliers customer customers client clients holidaymakers villagers inhabitants competitor competitors fund funds bank insurer insurers pension state authority authorities us commission association ltd llc sa corp corporation inc incorporated european sec afm acm businessman businessmen businesswoman businesswomen lawyer lawyers legal counsel representative representatives attache ambassador minister ftc cftc finra doj cnmv cysec && gouge gouges gouged gouging screw screws screwing screwed,financial-offenses-market-manipulation,-130,25,15,,,
involved && in with && cartel cartels,financial-offenses-market-manipulation,-120,25,6,,,
